Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Tolland County, Connecticut",09,013,81312.0,37.9,36.3,39.5,463.0,22459.0,3520.0,11236.0,8696.0,21525.0,2009.0,2034.0
"Fairfield County, Connecticut",09,001,89773.0,40.2,38.4,41.7,7074.0,127034.0,14014.0,69043.0,39156.0,165926.0,24568.0,10645.0
"Santa Rosa County, Florida",12,113,62731.0,39.5,37.9,41.3,611.0,25651.0,5599.0,17859.0,15147.0,20652.0,1536.0,961.0
"Broomfield County, Colorado",08,014,85639.0,37.8,36.9,38.4,177.0,5398.0,1012.0,6376.0,3671.0,14915.0,1057.0,931.0
"New Castle County, Delaware",10,003,68336.0,37.8,36.4,39.3,4119.0,100963.0,11151.0,47678.0,26155.0,77875.0,8320.0,8338.0
"Sussex County, Delaware",10,005,57901.0,48.3,46.9,49.7,1991.0,47566.0,5702.0,20451.0,15183.0,23094.0,2482.0,1694.0
"Kent County, Delaware",10,001,57647.0,37.3,35.4,38.9,1613.0,32509.0,5244.0,18071.0,9690.0,16509.0,1501.0,1314.0
"Manatee County, Florida",12,081,53408.0,47.6,46.0,48.9,3604.0,70477.0,11858.0,35454.0,23106.0,47990.0,4748.0,3487.0
"Citrus County, Florida",12,017,40574.0,55.9,55.0,56.7,1105.0,34826.0,7543.0,15725.0,9858.0,12905.0,1315.0,719.0
"Levy County, Florida",12,075,36554.0,46.4,45.3,47.5,336.0,9593.0,2341.0,4002.0,2517.0,2183.0,175.0,204.0
"Baker County, Florida",12,003,59506.0,37.1,35.7,39.0,149.0,5951.0,1659.0,2175.0,1482.0,1689.0,137.0,88.0
"Volusia County, Florida",12,127,43838.0,46.4,44.8,48.2,3782.0,107167.0,18846.0,59223.0,39026.0,56598.0,5171.0,3978.0
