State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Georgia,43268.79,39.52,38.12,41.05,2984196.0,0.6027386857079725,1744426.0,0.35233377249846043,222439.0,0.044927541793567075,6061821.0,0.6083481845458941,3195268.0,0.32066857251931224,30552.0,0.0030661172169627175,388946.0,0.03903358297554272,5237.0,0.0005255713493464831,282570.0,0.02835797139294171
Hawaii,68663.0,44.06,42.72,45.2,438198.0,0.5568605224498925,311993.0,0.396479639297097,36717.0,0.04665983825301052,357308.0,0.3298755493186602,25884.0,0.023896746556372098,2756.0,0.002544407105136822,540556.0,0.4990546179696444,142600.0,0.1316518335241331,14056.0,0.0129768455260534
Idaho,46171.93,39.89,39.4,40.18,494067.0,0.6044904860716872,295383.0,0.36140080848814676,27878.0,0.034108705440166004,1507880.0,0.9345624096275026,11231.0,0.006960812811713454,21323.0,0.013215689750170597,22720.0,0.014081530325182945,2343.0,0.0014521578147844913,47964.0,0.029727399670645898
Illinois,52930.38,41.55,40.12,43.08,3632451.0,0.5685023684918512,2458626.0,0.3847910692355234,298432.0,0.04670656227262533,9236701.0,0.7363952806353183,1833501.0,0.14617572696573558,29696.0,0.0023675113283136927,671811.0,0.05356008058276368,4275.0,0.0003408240479708054,767145.0,0.06116057643989789
Indiana,51877.4,40.16,38.97,41.43,2128671.0,0.642692940335351,1077355.0,0.3252773456936239,106086.0,0.03202971397102514,5546787.0,0.8585055208343007,613060.0,0.09488653424093559,15027.0,0.002325808159133754,137680.0,0.021309460793873376,2635.0,0.00040783286745973524,145791.0,0.02256484310429687
Iowa,53436.08,41.93,40.41,43.46,956128.0,0.5850321571641243,621474.0,0.38026527289381434,56715.0,0.034702569942061424,2824197.0,0.9243393921779635,106762.0,0.03494243573932829,10791.0,0.0035318167893360146,71178.0,0.023296048135609197,2913.0,0.0009534039762149764,39527.0,0.012936903181548016
Kansas,50022.57,41.44,39.97,42.95,805360.0,0.571458981554738,545536.0,0.38709576706248827,58409.0,0.04144525138277378,2465518.0,0.8788456568659427,168470.0,0.06005193546029896,23503.0,0.008377756509309707,80738.0,0.028779445392020046,1923.0,0.0006854625268009432,65253.0,0.023259743245627636
Kentucky,41470.49,40.71,39.34,42.06,1448641.0,0.6663656774809643,644976.0,0.2966848716824682,80326.0,0.03694945083656747,3862600.0,0.8924525995749147,353088.0,0.08158087906557954,9324.0,0.0021543074712464414,59593.0,0.01376894520956555,2271.0,0.0005247138853711571,41197.0,0.009518554793322571
Louisiana,42654.08,37.7,36.17,39.48,1574505.0,0.6822022258482981,652630.0,0.28277181632028786,80839.0,0.035025957831414045,2909599.0,0.6358475573751218,1500648.0,0.32794325447591294,27094.0,0.005920971831349113,80980.0,0.017696918096355325,1401.0,0.00030616673565070157,56216.0,0.012285131485610163
Maine,49680.81,45.91,44.88,46.83,445050.0,0.588032439888696,281727.0,0.3722382096225652,30069.0,0.03972935048873879,1258918.0,0.9668693205207763,16906.0,0.012984080561819154,8212.0,0.006306948395460718,14804.0,0.011369710672966446,249.0,0.00019123601442641485,2967.0,0.002278703834550895
Maryland,72541.17,40.83,39.5,42.09,1616648.0,0.5443222604561585,1127114.0,0.3794971077635841,226258.0,0.07618063178025737,3395212.0,0.5847282982902888,1782256.0,0.30694269400486834,16281.0,0.002803937257662907,373065.0,0.06424979135372597,2830.0,0.000487386673987226,236834.0,0.04078789241946667
Massachusetts,71030.71,41.56,40.14,42.82,1742177.0,0.5022162146891678,1464935.0,0.42229584621176613,261866.0,0.07548793909906606,5358373.0,0.8143676490882088,499774.0,0.07595585030295772,14336.0,0.0021787909533973393,426225.0,0.06477784417632401,2253.0,0.00034241183161301655,278835.0,0.0423774536474991
Michigan,47530.52,44.34,43.13,45.61,3116760.0,0.6135359161700127,1769912.0,0.3484081483528727,193324.0,0.03805593547711455,7813199.0,0.8099377546605221,1374515.0,0.14248601537567487,51804.0,0.0053701454989734275,289082.0,0.029967037316312183,2808.0,0.0002910850235718745,115258.0,0.011947962124945552
Minnesota,57530.0,41.83,40.81,42.92,1526848.0,0.5228363907068992,1261355.0,0.43192400003150344,132114.0,0.045239609261597286,4598252.0,0.8616958399125084,326953.0,0.06126981295216407,57566.0,0.010787660772050652,255935.0,0.0479612958985301,1976.0,0.0003702952730009396,95600.0,0.017915095191745865
Mississippi,37018.72,38.15,36.56,39.86,948298.0,0.6626922286715798,437529.0,0.30575522474838884,45151.0,0.03155254658003128,1755471.0,0.5954198550957148,1122576.0,0.38075481694310365,13258.0,0.004496842408025531,28859.0,0.009788382490059495,597.0,0.0002024901883837111,27530.0,0.009337612874712842
Missouri,44435.3,41.29,40.12,42.58,1925829.0,0.6254222624629536,1033978.0,0.3357893458333631,119439.0,0.038788391703683305,5004537.0,0.8448030101740236,703061.0,0.11868191785493028,25933.0,0.0043776829830297894,112959.0,0.019068318053447806,6336.0,0.0010695638522529884,71084.0,0.011999507082315565
Montana,47746.75,44.3,43.8,44.94,332576.0,0.592876765076575,206807.0,0.3686708155585227,21570.0,0.03845241936490223,916664.0,0.915311170090606,4438.0,0.004431450316432313,66865.0,0.06676631937995642,7448.0,0.007437008102025207,571.0,0.0005701573074995157,5492.0,0.005483894803480456
Nebraska,51928.35,43.54,42.24,44.78,538081.0,0.564632860253417,377293.0,0.3959107007004381,37601.0,0.039456439046144966,1663612.0,0.9000524792382395,89718.0,0.04853950821002516,16012.0,0.00866286147104174,42208.0,0.022835501934157492,1524.0,0.0008245191657424189,35276.0,0.01908512998079368
