Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Añasco Municipio, Puerto Rico",72,011,18765.0,41.3,40.3,42.7,17202.0,845.0,0.0,0.0,1.0,7122.0,494.0,5271.0,827.0,1792.0,1987.0,2450.0,10.0,141.0
"Ceiba Municipio, Puerto Rico",72,037,18998.0,40.9,39.6,41.8,7689.0,1135.0,9.0,54.0,0.0,3182.0,200.0,2598.0,104.0,1176.0,665.0,1116.0,6.0,17.0
"Ciales Municipio, Puerto Rico",72,039,14432.0,40.5,40.4,40.6,16644.0,145.0,0.0,0.0,0.0,224.0,273.0,3349.0,420.0,1069.0,1277.0,1490.0,23.0,34.0
"Comerío Municipio, Puerto Rico",72,045,13523.0,38.1,36.8,38.9,15882.0,1633.0,65.0,18.0,0.0,1960.0,927.0,3856.0,540.0,1286.0,1159.0,1230.0,6.0,20.0
"Isabela Municipio, Puerto Rico",72,071,16333.0,40.8,39.4,42.4,30785.0,2155.0,98.0,0.0,0.0,9702.0,861.0,8092.0,533.0,3642.0,2547.0,4572.0,106.0,105.0
"Jayuya Municipio, Puerto Rico",72,073,15615.0,36.3,34.7,39.2,12907.0,116.0,47.0,4.0,0.0,1776.0,266.0,3190.0,421.0,1339.0,648.0,1163.0,9.0,39.0
"Lares Municipio, Puerto Rico",72,081,12820.0,41.1,39.6,42.8,19426.0,154.0,12.0,0.0,0.0,7430.0,611.0,3877.0,361.0,2564.0,1339.0,2733.0,62.0,27.0
"Las Piedras Municipio, Puerto Rico",72,085,20587.0,38.1,37.2,39.2,18889.0,18256.0,0.0,0.0,0.0,756.0,271.0,7274.0,599.0,4337.0,2621.0,3697.0,188.0,102.0
"Río Grande Municipio, Puerto Rico",72,119,22584.0,40.2,37.7,41.6,27326.0,6878.0,57.0,166.0,0.0,16112.0,790.0,10250.0,1631.0,3372.0,4121.0,5307.0,171.0,216.0
"San Juan Municipio, Puerto Rico",72,127,21677.0,41.8,39.2,43.9,248912.0,44717.0,1544.0,1428.0,32.0,40259.0,5607.0,50330.0,3850.0,23699.0,28537.0,53804.0,10672.0,5132.0
"Vega Alta Municipio, Puerto Rico",72,143,18053.0,37.8,37.0,38.4,30550.0,4090.0,34.0,103.0,0.0,2421.0,488.0,6544.0,485.0,2868.0,2616.0,3312.0,133.0,256.0
"Vega Baja Municipio, Puerto Rico",72,145,18900.0,40.1,38.2,41.5,48319.0,2431.0,83.0,20.0,27.0,3231.0,1085.0,6091.0,720.0,3269.0,4706.0,5456.0,163.0,284.0
"Maricao Municipio, Puerto Rico",72,093,13462.0,42.7,42.2,42.9,3009.0,160.0,22.0,0.0,0.0,2816.0,214.0,1187.0,139.0,126.0,229.0,321.0,17.0,17.0
"Aibonito Municipio, Puerto Rico",72,009,18387.0,40.7,38.3,42.5,19292.0,2000.0,13.0,52.0,0.0,2454.0,547.0,5574.0,313.0,1723.0,1233.0,2330.0,52.0,94.0
"Guayanilla Municipio, Puerto Rico",72,059,14988.0,40.3,38.8,41.2,15842.0,416.0,128.0,61.0,0.0,2723.0,285.0,3587.0,280.0,1132.0,1561.0,2423.0,76.0,114.0
"Juncos Municipio, Puerto Rico",72,077,18533.0,37.6,36.7,38.1,22814.0,1850.0,25.0,83.0,0.0,14633.0,431.0,6480.0,1494.0,2322.0,3530.0,4008.0,83.0,112.0
"Lajas Municipio, Puerto Rico",72,079,13896.0,43.4,41.4,44.9,11455.0,240.0,43.0,0.0,0.0,11761.0,688.0,4106.0,259.0,1470.0,1843.0,1881.0,101.0,163.0
"Sabana Grande Municipio, Puerto Rico",72,121,15736.0,40.9,39.6,42.8,17384.0,704.0,0.0,0.0,0.0,5105.0,606.0,5148.0,350.0,1388.0,1510.0,2589.0,80.0,116.0
"Adjuntas Municipio, Puerto Rico",72,001,11680.0,39.5,37.1,42.0,14396.0,120.0,17.0,0.0,0.0,3857.0,572.0,2981.0,135.0,1683.0,733.0,1863.0,15.0,80.0
"Camuy Municipio, Puerto Rico",72,027,17579.0,40.1,38.8,41.5,26089.0,652.0,34.0,0.0,0.0,5902.0,805.0,5768.0,373.0,2585.0,2330.0,3799.0,69.0,195.0
"Guánica Municipio, Puerto Rico",72,055,12653.0,41.4,39.5,42.5,12204.0,472.0,19.0,0.0,0.0,4180.0,171.0,4246.0,358.0,786.0,810.0,1339.0,17.0,81.0
"Hormigueros Municipio, Puerto Rico",72,067,19674.0,45.1,42.9,47.6,6122.0,486.0,0.0,43.0,0.0,9554.0,351.0,3162.0,426.0,1560.0,900.0,2022.0,62.0,26.0
"Manatí Municipio, Puerto Rico",72,091,18191.0,40.9,39.4,41.7,34736.0,1574.0,41.0,14.0,0.0,4014.0,1022.0,7395.0,362.0,2557.0,3025.0,4921.0,204.0,166.0
"Naguabo Municipio, Puerto Rico",72,103,18976.0,37.0,36.3,37.5,17040.0,1104.0,0.0,121.0,0.0,8209.0,492.0,5223.0,207.0,1774.0,1447.0,2792.0,41.0,35.0
"Naranjito Municipio, Puerto Rico",72,105,18069.0,38.7,38.0,39.3,24364.0,1691.0,11.0,0.0,0.0,1341.0,797.0,4758.0,383.0,2940.0,2033.0,2835.0,83.0,11.0
"San Germán Municipio, Puerto Rico",72,125,15036.0,42.7,41.1,44.4,21930.0,772.0,32.0,0.0,0.0,10018.0,751.0,6099.0,916.0,1951.0,1358.0,3909.0,171.0,136.0
"Utuado Municipio, Puerto Rico",72,141,15931.0,41.7,40.6,42.5,21865.0,619.0,50.0,294.0,0.0,6660.0,579.0,5653.0,466.0,2768.0,1759.0,3059.0,74.0,105.0
"Arecibo Municipio, Puerto Rico",72,013,17289.0,41.4,39.2,43.4,76382.0,3858.0,341.0,715.0,0.0,6785.0,1875.0,17036.0,1744.0,7206.0,5999.0,10461.0,350.0,569.0
"Arroyo Municipio, Puerto Rico",72,015,15689.0,38.7,37.1,40.0,10730.0,3983.0,0.0,0.0,0.0,3550.0,304.0,4817.0,105.0,1058.0,1084.0,1685.0,28.0,12.0
"Cataño Municipio, Puerto Rico",72,033,18663.0,39.1,36.4,41.3,16298.0,2598.0,16.0,110.0,0.0,4898.0,510.0,4468.0,528.0,2102.0,1729.0,2416.0,294.0,157.0
"Florida Municipio, Puerto Rico",72,054,16919.0,38.2,37.1,40.8,11056.0,229.0,0.0,26.0,0.0,790.0,124.0,3013.0,150.0,1210.0,920.0,844.0,0.0,33.0
"Hatillo Municipio, Puerto Rico",72,065,17770.0,40.7,39.2,41.8,40074.0,258.0,0.0,16.0,0.0,310.0,712.0,5760.0,483.0,2369.0,4066.0,5196.0,141.0,254.0
"Humacao Municipio, Puerto Rico",72,069,18735.0,41.3,38.6,43.3,31444.0,8483.0,79.0,409.0,0.0,13563.0,888.0,11004.0,663.0,3687.0,4173.0,6418.0,214.0,463.0
"Juana Díaz Municipio, Puerto Rico",72,075,20228.0,37.5,36.3,38.4,21952.0,4180.0,38.0,107.0,0.0,5030.0,588.0,9919.0,584.0,2459.0,3047.0,5825.0,446.0,269.0
"Morovis Municipio, Puerto Rico",72,101,18739.0,37.0,35.8,37.9,29782.0,420.0,39.0,29.0,0.0,1349.0,554.0,5184.0,203.0,2657.0,2371.0,2845.0,0.0,96.0
"Mayagüez Municipio, Puerto Rico",72,097,14642.0,39.9,35.6,43.0,29400.0,3226.0,222.0,34.0,1.0,44849.0,1608.0,12644.0,2786.0,5459.0,2911.0,8641.0,415.0,1020.0
"Santa Isabel Municipio, Puerto Rico",72,133,16816.0,37.2,35.6,38.4,12539.0,6295.0,25.0,0.0,0.0,3455.0,243.0,5087.0,210.0,1317.0,1254.0,2372.0,107.0,118.0
"Trujillo Alto Municipio, Puerto Rico",72,139,31202.0,39.3,36.8,41.6,56303.0,6281.0,85.0,0.0,11.0,4560.0,884.0,10793.0,782.0,5491.0,5246.0,11623.0,732.0,776.0
"Quebradillas Municipio, Puerto Rico",72,115,16082.0,39.3,38.0,40.9,19559.0,1187.0,66.0,27.0,0.0,3550.0,761.0,4822.0,191.0,1790.0,2087.0,2321.0,43.0,197.0
"Guayama Municipio, Puerto Rico",72,057,15296.0,37.5,35.1,40.7,31543.0,5593.0,0.0,95.0,0.0,4827.0,664.0,9825.0,650.0,2485.0,2281.0,4455.0,89.0,68.0
"Moca Municipio, Puerto Rico",72,099,13413.0,38.6,37.5,39.3,27169.0,1232.0,97.0,60.0,0.0,7789.0,868.0,7112.0,964.0,2324.0,1324.0,3679.0,158.0,230.0
"Culebra Municipio, Puerto Rico",72,049,23355.0,39.3,38.1,43.4,743.0,74.0,5.0,15.0,0.0,624.0,30.0,330.0,39.0,101.0,109.0,123.0,9.0,11.0
"Gurabo Municipio, Puerto Rico",72,063,32625.0,38.3,38.0,38.5,30910.0,6114.0,43.0,69.0,0.0,8791.0,775.0,6267.0,1555.0,3136.0,3361.0,6919.0,324.0,771.0
"Salinas Municipio, Puerto Rico",72,123,16246.0,38.4,37.3,39.4,16612.0,7888.0,64.0,129.0,0.0,4096.0,697.0,6937.0,368.0,1699.0,1760.0,2477.0,15.0,154.0
"Barceloneta Municipio, Puerto Rico",72,017,17113.0,38.7,37.7,39.6,21755.0,720.0,0.0,90.0,0.0,1714.0,537.0,5284.0,125.0,1747.0,1976.0,2532.0,0.0,54.0
"Loíza Municipio, Puerto Rico",72,087,17273.0,37.5,36.5,38.4,6424.0,10042.0,38.0,73.0,0.0,10390.0,297.0,6221.0,763.0,1443.0,2234.0,1929.0,37.0,34.0
"Yauco Municipio, Puerto Rico",72,153,14451.0,42.1,40.7,43.6,30476.0,1299.0,164.0,5.0,0.0,5100.0,861.0,7295.0,974.0,2263.0,1971.0,4558.0,225.0,180.0
"Guaynabo Municipio, Puerto Rico",72,061,34060.0,42.7,39.9,45.6,70941.0,5198.0,284.0,64.0,0.0,9023.0,1322.0,10117.0,827.0,7476.0,5743.0,18175.0,3869.0,1477.0
"Aguadilla Municipio, Puerto Rico",72,005,16821.0,40.6,38.7,42.6,39551.0,2052.0,131.0,580.0,10.0,8313.0,1145.0,9528.0,1255.0,4024.0,2678.0,6765.0,338.0,258.0
"Cabo Rojo Municipio, Puerto Rico",72,023,16461.0,42.3,41.6,42.9,23510.0,1070.0,157.0,10.0,0.0,24867.0,830.0,8196.0,826.0,3197.0,2874.0,6871.0,93.0,516.0
"Fajardo Municipio, Puerto Rico",72,053,18941.0,40.7,38.0,42.2,19135.0,3460.0,28.0,149.0,0.0,9509.0,446.0,6541.0,835.0,2876.0,1878.0,4126.0,110.0,168.0
"Las Marías Municipio, Puerto Rico",72,083,14404.0,40.1,38.8,41.4,5750.0,66.0,0.0,0.0,0.0,3028.0,156.0,1618.0,226.0,301.0,283.0,756.0,6.0,1.0
"Patillas Municipio, Puerto Rico",72,109,14512.0,43.3,41.9,44.2,7327.0,9990.0,73.0,0.0,12.0,348.0,324.0,3597.0,172.0,1781.0,1104.0,1534.0,14.0,79.0
"Rincón Municipio, Puerto Rico",72,117,18292.0,44.6,43.8,46.1,9619.0,171.0,0.0,27.0,0.0,706.0,564.0,2337.0,254.0,792.0,1160.0,1822.0,13.0,171.0
"Villalba Municipio, Puerto Rico",72,149,19893.0,37.6,35.9,39.2,12995.0,850.0,25.0,10.0,0.0,2752.0,433.0,4992.0,206.0,1491.0,1296.0,2416.0,178.0,14.0
"Aguas Buenas Municipio, Puerto Rico",72,007,16733.0,40.4,37.7,42.0,20003.0,1965.0,157.0,0.0,0.0,641.0,744.0,4887.0,502.0,1828.0,1503.0,2512.0,86.0,0.0
"Bayamón Municipio, Puerto Rico",72,021,25528.0,40.4,37.3,43.6,123433.0,13644.0,859.0,305.0,12.0,12398.0,3102.0,27186.0,4842.0,18696.0,13814.0,27598.0,1779.0,1084.0
"Carolina Municipio, Puerto Rico",72,031,29082.0,41.1,38.6,43.3,88041.0,38617.0,4099.0,591.0,17.0,15071.0,1671.0,24719.0,4220.0,14485.0,13328.0,25133.0,1644.0,1421.0
"Cayey Municipio, Puerto Rico",72,035,20442.0,41.0,39.8,42.1,33610.0,2218.0,68.0,50.0,0.0,4182.0,1016.0,8361.0,846.0,3115.0,2844.0,5464.0,226.0,335.0
"Monroe County, Alabama",01,099,26036.0,41.7,39.4,43.4,11973.0,9029.0,274.0,116.0,0.0,0.0,375.0,6257.0,653.0,1673.0,1172.0,1079.0,67.0,121.0
"Lawrence County, Alabama",01,079,43779.0,42.0,40.6,42.8,25978.0,3801.0,1730.0,18.0,0.0,3.0,396.0,7870.0,1676.0,3269.0,1822.0,1671.0,62.0,42.0
"Lee County, Alabama",01,081,47564.0,31.0,29.7,32.4,109481.0,36139.0,166.0,6000.0,12.0,1987.0,1109.0,18345.0,4315.0,14958.0,7431.0,18261.0,1694.0,2922.0
"Marion County, Alabama",01,093,35719.0,44.1,42.3,45.3,28032.0,1003.0,128.0,96.0,0.0,232.0,227.0,6097.0,1466.0,3362.0,1902.0,1784.0,104.0,20.0
"Pickens County, Alabama",01,107,36220.0,42.1,40.3,44.1,11305.0,8189.0,22.0,13.0,10.0,331.0,339.0,4601.0,783.0,2230.0,1067.0,1248.0,46.0,30.0
"Sumter County, Alabama",01,119,21663.0,35.9,34.5,38.2,3235.0,9268.0,68.0,392.0,0.0,55.0,39.0,3032.0,244.0,1177.0,581.0,872.0,52.0,41.0
"Jefferson County, Alabama",01,073,49321.0,37.6,35.9,39.0,343449.0,280804.0,1550.0,10187.0,184.0,12921.0,3722.0,101588.0,18034.0,77553.0,36167.0,86862.0,13878.0,7629.0
"Choctaw County, Alabama",01,023,32122.0,45.8,44.2,47.6,7456.0,5583.0,4.0,8.0,0.0,7.0,135.0,3212.0,554.0,1204.0,857.0,745.0,45.0,34.0
"Franklin County, Alabama",01,059,39501.0,37.7,35.3,40.7,27055.0,1528.0,291.0,117.0,32.0,2240.0,688.0,6361.0,1406.0,2623.0,1557.0,1722.0,142.0,126.0
"Marengo County, Alabama",01,091,32255.0,42.1,39.8,43.2,8954.0,10689.0,11.0,0.0,0.0,52.0,249.0,4881.0,494.0,1930.0,1084.0,1315.0,83.0,80.0
"Russell County, Alabama",01,113,38988.0,35.3,33.7,37.4,29568.0,24946.0,213.0,424.0,140.0,876.0,397.0,10369.0,2167.0,6774.0,3434.0,4092.0,251.0,181.0
"Cherokee County, Alabama",01,019,40041.0,46.1,45.4,46.5,24072.0,1287.0,125.0,50.0,0.0,51.0,312.0,5942.0,1237.0,2719.0,1502.0,1237.0,280.0,117.0
"Covington County, Alabama",01,039,39467.0,43.4,41.6,45.1,31758.0,4937.0,124.0,158.0,8.0,77.0,263.0,7680.0,1717.0,3803.0,2557.0,2740.0,265.0,66.0
"Crenshaw County, Alabama",01,041,38937.0,41.4,40.1,43.6,9911.0,3271.0,113.0,194.0,0.0,141.0,218.0,3074.0,551.0,1282.0,603.0,1143.0,21.0,21.0
"Dallas County, Alabama",01,047,30065.0,39.3,37.0,40.3,11497.0,28677.0,16.0,183.0,23.0,92.0,364.0,8382.0,1440.0,4370.0,2482.0,2181.0,252.0,101.0
"Lauderdale County, Alabama",01,077,44888.0,41.5,39.7,43.1,80456.0,9316.0,339.0,626.0,23.0,269.0,738.0,18456.0,3813.0,10031.0,3986.0,8710.0,667.0,757.0
"Lowndes County, Alabama",01,085,29785.0,40.7,39.0,42.6,2559.0,7722.0,9.0,0.0,0.0,0.0,58.0,2243.0,306.0,1085.0,536.0,671.0,33.0,21.0
"Macon County, Alabama",01,087,32308.0,38.0,35.9,39.6,3060.0,15903.0,55.0,38.0,0.0,147.0,150.0,3205.0,763.0,2353.0,713.0,1332.0,165.0,168.0
"Limestone County, Alabama",01,083,52831.0,39.1,38.1,40.5,74794.0,12042.0,724.0,1165.0,62.0,941.0,774.0,15001.0,4352.0,9238.0,4831.0,10410.0,553.0,446.0
"Shelby County, Alabama",01,117,74063.0,38.5,37.7,39.3,168535.0,24669.0,468.0,3973.0,56.0,7288.0,768.0,25033.0,4511.0,21682.0,10158.0,39369.0,3304.0,1983.0
"St. Clair County, Alabama",01,115,53483.0,40.1,39.0,41.6,76026.0,8126.0,241.0,732.0,11.0,686.0,565.0,17590.0,4204.0,10014.0,5296.0,6366.0,443.0,443.0
"Winston County, Alabama",01,133,35362.0,44.6,43.7,45.8,23135.0,124.0,65.0,70.0,19.0,126.0,313.0,5082.0,1160.0,2106.0,1416.0,1354.0,146.0,110.0
"Baldwin County, Alabama",01,003,52562.0,42.6,41.2,44.0,175961.0,19414.0,1668.0,1405.0,0.0,1591.0,1131.0,32709.0,7062.0,22319.0,13760.0,29237.0,2885.0,1132.0
"Cullman County, Alabama",01,043,40997.0,40.6,39.5,42.0,78056.0,948.0,350.0,528.0,3.0,723.0,773.0,16374.0,3964.0,7643.0,6057.0,5409.0,634.0,208.0
"Elmore County, Alabama",01,051,54981.0,38.5,37.5,39.6,60877.0,17338.0,281.0,461.0,0.0,768.0,335.0,14206.0,4623.0,7780.0,5110.0,7983.0,603.0,429.0
"Houston County, Alabama",01,069,42803.0,39.6,37.6,41.3,72271.0,27844.0,403.0,899.0,22.0,581.0,1047.0,18768.0,3926.0,11909.0,6606.0,9418.0,1058.0,488.0
"Jackson County, Alabama",01,071,39281.0,43.0,41.4,44.4,47628.0,1699.0,573.0,238.0,67.0,619.0,549.0,11989.0,3091.0,4847.0,3256.0,3192.0,161.0,272.0
"Talladega County, Alabama",01,121,39219.0,40.6,39.9,41.3,51980.0,26004.0,294.0,469.0,22.0,738.0,830.0,15919.0,3787.0,8802.0,4888.0,4620.0,474.0,216.0
"Tuscaloosa County, Alabama",01,125,50513.0,32.3,30.9,33.8,132281.0,63965.0,346.0,3135.0,67.0,2271.0,1535.0,31246.0,5545.0,20569.0,8901.0,23230.0,1987.0,2598.0
"Washington County, Alabama",01,129,42185.0,43.5,39.6,46.4,10970.0,4120.0,1270.0,159.0,0.0,8.0,54.0,4589.0,611.0,1453.0,1122.0,785.0,95.0,0.0
"Clay County, Alabama",01,027,37287.0,43.8,43.8,43.8,11148.0,1979.0,120.0,6.0,0.0,23.0,120.0,2831.0,357.0,1438.0,845.0,562.0,45.0,46.0
"Coffee County, Alabama",01,031,49821.0,39.3,38.3,40.2,38956.0,8834.0,542.0,659.0,0.0,440.0,477.0,8211.0,1979.0,5541.0,3694.0,5111.0,307.0,266.0
"Morgan County, Alabama",01,103,47529.0,40.1,38.5,41.9,96748.0,14790.0,669.0,779.0,55.0,3516.0,1275.0,19232.0,5289.0,13204.0,7014.0,11822.0,897.0,383.0
"Pike County, Alabama",01,109,35684.0,31.4,28.8,32.8,18995.0,12648.0,213.0,731.0,2.0,18.0,193.0,5563.0,930.0,2527.0,1114.0,2930.0,149.0,364.0
"Chilton County, Alabama",01,021,43501.0,38.9,38.0,39.7,36497.0,4184.0,254.0,187.0,0.0,1917.0,495.0,10961.0,1941.0,3346.0,1997.0,2809.0,289.0,118.0
"Colbert County, Alabama",01,033,45477.0,42.5,41.1,44.2,43315.0,8722.0,404.0,274.0,19.0,626.0,333.0,10353.0,2605.0,6556.0,2995.0,4403.0,331.0,176.0
"Coosa County, Alabama",01,037,34792.0,45.9,46.0,45.6,7165.0,3640.0,9.0,0.0,0.0,0.0,129.0,2552.0,571.0,1332.0,489.0,611.0,12.0,14.0
"Dale County, Alabama",01,045,44711.0,37.1,35.1,39.5,36202.0,9606.0,257.0,503.0,9.0,875.0,502.0,8412.0,2427.0,6381.0,3179.0,3688.0,270.0,109.0
"Hale County, Alabama",01,065,34679.0,39.8,38.1,42.2,5928.0,8802.0,25.0,26.0,0.0,176.0,181.0,3654.0,689.0,1304.0,639.0,1008.0,136.0,34.0
"Etowah County, Alabama",01,055,42064.0,40.9,39.8,42.4,83436.0,16039.0,729.0,706.0,71.0,631.0,1126.0,18681.0,4634.0,13287.0,6006.0,7435.0,918.0,438.0
"DeKalb County, Alabama",01,049,38842.0,39.0,38.2,39.7,61415.0,1040.0,963.0,208.0,640.0,5198.0,1514.0,12867.0,3344.0,5500.0,4255.0,3638.0,428.0,261.0
"Escambia County, Alabama",01,053,35026.0,39.6,38.2,41.2,23087.0,12128.0,1371.0,149.0,54.0,327.0,285.0,8801.0,2545.0,3337.0,1914.0,1956.0,238.0,104.0
"Lamar County, Alabama",01,075,36016.0,44.5,44.1,45.8,12264.0,1520.0,45.0,0.0,0.0,109.0,141.0,3113.0,623.0,1439.0,737.0,880.0,28.0,44.0
"Randolph County, Alabama",01,111,39485.0,42.7,41.0,44.2,17341.0,4500.0,48.0,36.0,36.0,151.0,228.0,4508.0,1209.0,1954.0,1311.0,1415.0,89.0,40.0
"Butler County, Alabama",01,013,36326.0,40.7,39.5,41.9,10547.0,9030.0,13.0,224.0,0.0,14.0,285.0,4862.0,775.0,1783.0,1099.0,1342.0,132.0,112.0
"Mobile County, Alabama",01,097,45802.0,37.3,36.0,38.6,245542.0,146423.0,2545.0,8127.0,54.0,3882.0,3628.0,76195.0,13756.0,45473.0,22939.0,42066.0,3606.0,2130.0
"Conecuh County, Alabama",01,035,30434.0,44.5,42.9,45.1,6494.0,5879.0,21.0,4.0,0.0,2.0,161.0,3744.0,464.0,989.0,480.0,458.0,30.0,13.0
"Perry County, Alabama",01,105,22973.0,37.6,35.1,41.0,2875.0,6735.0,7.0,23.0,0.0,40.0,166.0,1918.0,540.0,850.0,233.0,512.0,11.0,67.0
"Walker County, Alabama",01,127,38872.0,42.3,40.9,43.5,59223.0,3963.0,100.0,306.0,0.0,156.0,845.0,13270.0,3611.0,6872.0,3966.0,3014.0,442.0,103.0
"Cleburne County, Alabama",01,029,37396.0,41.7,40.8,43.1,14127.0,424.0,43.0,81.0,0.0,51.0,173.0,3175.0,712.0,1426.0,463.0,807.0,120.0,38.0
"Greene County, Alabama",01,063,20954.0,42.0,36.4,45.7,1459.0,6853.0,54.0,0.0,0.0,0.0,128.0,2033.0,123.0,895.0,397.0,486.0,15.0,37.0
"Barbour County, Alabama",01,005,33368.0,39.7,37.9,43.1,12200.0,12588.0,54.0,165.0,0.0,978.0,342.0,5103.0,1446.0,2110.0,1353.0,1403.0,90.0,69.0
"Bibb County, Alabama",01,007,43404.0,39.8,36.7,43.4,17323.0,4979.0,82.0,0.0,0.0,8.0,196.0,5581.0,1377.0,2367.0,831.0,1289.0,92.0,99.0
"Bullock County, Alabama",01,011,29655.0,40.8,38.0,42.5,2299.0,7925.0,110.0,73.0,0.0,2.0,75.0,2336.0,363.0,1059.0,318.0,485.0,115.0,56.0
"Calhoun County, Alabama",01,015,43686.0,39.1,37.7,40.3,86136.0,23735.0,413.0,1149.0,7.0,1456.0,942.0,20453.0,4987.0,14458.0,5830.0,8092.0,997.0,740.0
"Chambers County, Alabama",01,017,37342.0,43.0,41.0,44.1,19552.0,13335.0,95.0,339.0,0.0,240.0,437.0,7346.0,1763.0,3735.0,1785.0,2131.0,273.0,41.0
"Clarke County, Alabama",01,025,33827.0,42.2,40.7,42.7,13108.0,11246.0,14.0,127.0,22.0,0.0,238.0,6623.0,880.0,2059.0,1165.0,1422.0,85.0,107.0
"Fayette County, Alabama",01,057,36541.0,43.6,41.4,45.1,14240.0,2019.0,0.0,78.0,0.0,0.0,201.0,3511.0,933.0,1401.0,836.0,1178.0,34.0,37.0
"Montgomery County, Alabama",01,101,46545.0,35.9,34.1,37.4,84134.0,130076.0,404.0,5567.0,51.0,2713.0,2085.0,30433.0,7772.0,23556.0,9835.0,28898.0,3348.0,2058.0
