State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,Associates or Bachelors Degree,Post Graduate Degree,Total,No College Degree Percentage,Associates or Bachelors Degree Percentage,Post Graduate Degree Percentage,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Total Ethnicity,White Percentage,Black or African American Percentage,American Indian and Alaska Native Percentage,Asian Percentage,Native Hawaiian and Other Pacific Islander Percentage,Other Percentage
Georgia,43268.79,39.52,38.12,41.05,2984196.0,1744426.0,222439.0,4951061.0,0.6027386857079725,0.35233377249846043,0.044927541793567075,6061821.0,3195268.0,30552.0,388946.0,5237.0,282570.0,9964394.0,0.6083481845458941,0.32066857251931224,0.0030661172169627175,0.03903358297554272,0.0005255713493464831,0.02835797139294171
Hawaii,68663.0,44.06,42.72,45.2,438198.0,311993.0,36717.0,786908.0,0.5568605224498925,0.396479639297097,0.04665983825301052,357308.0,25884.0,2756.0,540556.0,142600.0,14056.0,1083160.0,0.3298755493186602,0.023896746556372098,0.002544407105136822,0.4990546179696444,0.1316518335241331,0.0129768455260534
Idaho,46171.93,39.89,39.4,40.18,494067.0,295383.0,27878.0,817328.0,0.6044904860716872,0.36140080848814676,0.034108705440166004,1507880.0,11231.0,21323.0,22720.0,2343.0,47964.0,1613461.0,0.9345624096275026,0.006960812811713454,0.013215689750170597,0.014081530325182945,0.0014521578147844913,0.029727399670645898
Illinois,52930.38,41.55,40.12,43.08,3632451.0,2458626.0,298432.0,6389509.0,0.5685023684918512,0.3847910692355234,0.04670656227262533,9236701.0,1833501.0,29696.0,671811.0,4275.0,767145.0,12543129.0,0.7363952806353183,0.14617572696573558,0.0023675113283136927,0.05356008058276368,0.0003408240479708054,0.06116057643989789
Indiana,51877.4,40.16,38.97,41.43,2128671.0,1077355.0,106086.0,3312112.0,0.642692940335351,0.3252773456936239,0.03202971397102514,5546787.0,613060.0,15027.0,137680.0,2635.0,145791.0,6460980.0,0.8585055208343007,0.09488653424093559,0.002325808159133754,0.021309460793873376,0.00040783286745973524,0.02256484310429687
Iowa,53436.08,41.93,40.41,43.46,956128.0,621474.0,56715.0,1634317.0,0.5850321571641243,0.38026527289381434,0.034702569942061424,2824197.0,106762.0,10791.0,71178.0,2913.0,39527.0,3055368.0,0.9243393921779635,0.03494243573932829,0.0035318167893360146,0.023296048135609197,0.0009534039762149764,0.012936903181548016
Kansas,50022.57,41.44,39.97,42.95,805360.0,545536.0,58409.0,1409305.0,0.571458981554738,0.38709576706248827,0.04144525138277378,2465518.0,168470.0,23503.0,80738.0,1923.0,65253.0,2805405.0,0.8788456568659427,0.06005193546029896,0.008377756509309707,0.028779445392020046,0.0006854625268009432,0.023259743245627636
Kentucky,41470.49,40.71,39.34,42.06,1448641.0,644976.0,80326.0,2173943.0,0.6663656774809643,0.2966848716824682,0.03694945083656747,3862600.0,353088.0,9324.0,59593.0,2271.0,41197.0,4328073.0,0.8924525995749147,0.08158087906557954,0.0021543074712464414,0.01376894520956555,0.0005247138853711571,0.009518554793322571
Louisiana,42654.08,37.7,36.17,39.48,1574505.0,652630.0,80839.0,2307974.0,0.6822022258482981,0.28277181632028786,0.035025957831414045,2909599.0,1500648.0,27094.0,80980.0,1401.0,56216.0,4575938.0,0.6358475573751218,0.32794325447591294,0.005920971831349113,0.017696918096355325,0.00030616673565070157,0.012285131485610163
Maine,49680.81,45.91,44.88,46.83,445050.0,281727.0,30069.0,756846.0,0.588032439888696,0.3722382096225652,0.03972935048873879,1258918.0,16906.0,8212.0,14804.0,249.0,2967.0,1302056.0,0.9668693205207763,0.012984080561819154,0.006306948395460718,0.011369710672966446,0.00019123601442641485,0.002278703834550895
Maryland,72541.17,40.83,39.5,42.09,1616648.0,1127114.0,226258.0,2970020.0,0.5443222604561585,0.3794971077635841,0.07618063178025737,3395212.0,1782256.0,16281.0,373065.0,2830.0,236834.0,5806478.0,0.5847282982902888,0.30694269400486834,0.002803937257662907,0.06424979135372597,0.000487386673987226,0.04078789241946667
Massachusetts,71030.71,41.56,40.14,42.82,1742177.0,1464935.0,261866.0,3468978.0,0.5022162146891678,0.42229584621176613,0.07548793909906606,5358373.0,499774.0,14336.0,426225.0,2253.0,278835.0,6579796.0,0.8143676490882088,0.07595585030295772,0.0021787909533973393,0.06477784417632401,0.00034241183161301655,0.0423774536474991
Michigan,47530.52,44.34,43.13,45.61,3116760.0,1769912.0,193324.0,5079996.0,0.6135359161700127,0.3484081483528727,0.03805593547711455,7813199.0,1374515.0,51804.0,289082.0,2808.0,115258.0,9646666.0,0.8099377546605221,0.14248601537567487,0.0053701454989734275,0.029967037316312183,0.0002910850235718745,0.011947962124945552
Minnesota,57530.0,41.83,40.81,42.92,1526848.0,1261355.0,132114.0,2920317.0,0.5228363907068992,0.43192400003150344,0.045239609261597286,4598252.0,326953.0,57566.0,255935.0,1976.0,95600.0,5336282.0,0.8616958399125084,0.06126981295216407,0.010787660772050652,0.0479612958985301,0.0003702952730009396,0.017915095191745865
Mississippi,37018.72,38.15,36.56,39.86,948298.0,437529.0,45151.0,1430978.0,0.6626922286715798,0.30575522474838884,0.03155254658003128,1755471.0,1122576.0,13258.0,28859.0,597.0,27530.0,2948291.0,0.5954198550957148,0.38075481694310365,0.004496842408025531,0.009788382490059495,0.0002024901883837111,0.009337612874712842
Missouri,44435.3,41.29,40.12,42.58,1925829.0,1033978.0,119439.0,3079246.0,0.6254222624629536,0.3357893458333631,0.038788391703683305,5004537.0,703061.0,25933.0,112959.0,6336.0,71084.0,5923910.0,0.8448030101740236,0.11868191785493028,0.0043776829830297894,0.019068318053447806,0.0010695638522529884,0.011999507082315565
Montana,47746.75,44.3,43.8,44.94,332576.0,206807.0,21570.0,560953.0,0.592876765076575,0.3686708155585227,0.03845241936490223,916664.0,4438.0,66865.0,7448.0,571.0,5492.0,1001478.0,0.915311170090606,0.004431450316432313,0.06676631937995642,0.007437008102025207,0.0005701573074995157,0.005483894803480456
Nebraska,51928.35,43.54,42.24,44.78,538081.0,377293.0,37601.0,952975.0,0.564632860253417,0.3959107007004381,0.039456439046144966,1663612.0,89718.0,16012.0,42208.0,1524.0,35276.0,1848350.0,0.9000524792382395,0.04853950821002516,0.00866286147104174,0.022835501934157492,0.0008245191657424189,0.01908512998079368
Nevada,56859.0,43.02,42.57,43.74,948342.0,466039.0,48075.0,1462456.0,0.6484584835372825,0.31866873259776707,0.03287278386495047,1936453.0,253013.0,32426.0,232502.0,19019.0,279977.0,2753390.0,0.7032977529518157,0.0918914501759649,0.011776755199953512,0.08444208775364187,0.006907484954910129,0.10168446896371382
New Hampshire,64901.9,44.2,43.05,45.3,386958.0,303312.0,31443.0,721713.0,0.5361660383005433,0.42026678194794886,0.043567179751507874,1244260.0,18632.0,2148.0,33313.0,289.0,7016.0,1305658.0,0.9529754346084502,0.01427019939371566,0.001645147504170311,0.025514338364257715,0.000221344333661648,0.0053735357957443676
New Jersey,77047.76,40.79,39.28,42.24,2521928.0,1840395.0,248895.0,4611218.0,0.5469114667751557,0.3991125555113638,0.05397597771348047,6085474.0,1207356.0,18006.0,844105.0,3013.0,573146.0,8731100.0,0.6969882374500349,0.13828223247929813,0.0020622831029309023,0.09667796726643836,0.0003450882477580145,0.06564419145353964
New Mexico,41197.21,41.61,40.47,42.68,624288.0,321645.0,47440.0,993373.0,0.628452756416774,0.32379076137563634,0.0477564822075897,1547843.0,42187.0,197191.0,29991.0,1390.0,197944.0,2016546.0,0.7675713819570692,0.020920425321316747,0.09778651218469601,0.014872460137284247,0.0006892974422601816,0.09815992295737365
New York,58309.26,41.27,39.83,42.68,5398669.0,3903105.0,585808.0,9887582.0,0.5460049787703404,0.3947481800909464,0.05924684113871319,12638791.0,3100685.0,77130.0,1652846.0,7937.0,1730813.0,19208202.0,0.6579892797878739,0.16142505165241391,0.004015472140494982,0.08604897012224257,0.00041320889899012933,0.09010801739798446
North Carolina,44551.67,42.19,40.51,43.85,2891783.0,1931601.0,201417.0,5024801.0,0.5755019950043793,0.38441343249215243,0.040084572503468294,6937466.0,2159427.0,117998.0,269164.0,6393.0,310920.0,9801368.0,0.7078058899533208,0.22031893915216733,0.012038931708308474,0.02746188083132885,0.0006522558891779188,0.03172210246569662
North Dakota,59795.96,43.15,42.02,44.12,214491.0,168272.0,11698.0,394461.0,0.5437571775156479,0.4265871657781124,0.029655656706239653,654024.0,17365.0,39507.0,10197.0,341.0,6600.0,728034.0,0.8983426598208325,0.023851908015285,0.054265322773386956,0.01400621399550021,0.00046838471829612356,0.009065510676699164
Ohio,51742.2,40.78,39.52,42.04,3792469.0,2013862.0,216397.0,6022728.0,0.6296928899993491,0.3343770464148472,0.03593006358580364,9503779.0,1428230.0,21872.0,235878.0,3499.0,103726.0,11296984.0,0.8412669257564674,0.1264257787742286,0.0019360919693256183,0.02087973214797861,0.0003097286851074588,0.009181742666892331
Oklahoma,46219.86,39.31,38.12,40.6,1245437.0,616745.0,59481.0,1921663.0,0.6481037518024753,0.32094337040365556,0.030952877793869165,2828569.0,283821.0,289871.0,80670.0,5543.0,105686.0,3594160.0,0.7869902842388764,0.07896726912547021,0.080650555345338,0.022444743695327975,0.0015422240523515925,0.02940492354263583
Oregon,48502.5,43.77,42.7,44.76,1179719.0,803739.0,103415.0,2086873.0,0.5653046447963053,0.3851403511378028,0.04955500406589189,3416776.0,76347.0,45332.0,166351.0,15157.0,121000.0,3840963.0,0.8895623311133172,0.019877046459442594,0.01180224855068898,0.04330971165304118,0.00394614579729094,0.03150251642621915
Pennsylvania,53281.88,42.93,41.42,44.75,4195252.0,2346255.0,298968.0,6840475.0,0.613298345509632,0.34299591768115517,0.04370573680921281,10378174.0,1417611.0,24995.0,417525.0,3665.0,251215.0,12493185.0,0.830706821359005,0.11347074424976497,0.0020006907766114087,0.033420220704328,0.0002933599398392003,0.02010816297045149
Puerto Rico,18412.95,39.92,38.29,41.42,979803.0,660256.0,53894.0,1693953.0,0.5784121519310158,0.3897723254423234,0.03181552262666083,2389446.0,338939.0,10849.0,7789.0,136.0,511785.0,3258944.0,0.7331963973606175,0.1040027076255376,0.0033289924589069344,0.0023900380000392765,4.173130928300701e-05,0.15704013324561575
Rhode Island,69906.4,42.76,40.9,44.44,306639.0,205398.0,28563.0,540600.0,0.567219755826859,0.3799445061043285,0.05283573806881243,854801.0,68346.0,5413.0,35556.0,759.0,59967.0,1024842.0,0.8340807656204566,0.06668930430251688,0.005281789778326805,0.034694128460777365,0.0007406019659615823,0.05851340987196075
South Carolina,42126.78,40.89,39.07,42.9,1508259.0,880262.0,85428.0,2473949.0,0.6096564642197555,0.35581250866529585,0.03453102711494861,3292598.0,1332110.0,14992.0,71994.0,3015.0,74328.0,4789037.0,0.6875282024340176,0.2781582184476754,0.003130483226586055,0.015033084939623562,0.0006295628954213551,0.015520448056676113
South Dakota,50408.74,40.52,39.43,41.74,260433.0,172881.0,14382.0,447696.0,0.5817183981987778,0.3861571244773239,0.03212447732389836,724430.0,14698.0,74062.0,11693.0,381.0,6687.0,831951.0,0.8707604173803505,0.017666905863446283,0.08902206980939983,0.014054914291827283,0.0004579596634897969,0.008037732991486277
Tennessee,43016.61,41.85,40.45,43.28,2162074.0,1051055.0,127057.0,3340186.0,0.6472914981381276,0.314669602231732,0.03803889963014036,5131786.0,1107392.0,17568.0,110605.0,3784.0,88745.0,6459880.0,0.7944088744682564,0.1714260946023765,0.0027195551620153935,0.017121835080527812,0.0005857693950971225,0.013737871291726782
Texas,49894.34,39.02,37.67,40.49,7487824.0,4497286.0,466003.0,12451113.0,0.601377884852543,0.3611955011572058,0.037426613990251316,20459525.0,3286950.0,130360.0,1236852.0,23531.0,1580393.0,26717611.0,0.7657692523481984,0.12302559536479515,0.004879178755914966,0.04629351029925542,0.0008807299425087071,0.0591517332893274
Utah,59208.76,34.24,33.64,34.88,739924.0,543564.0,54996.0,1338484.0,0.5528075046096927,0.40610421940045605,0.0410882759898512,2600077.0,33619.0,32079.0,67545.0,26742.0,150596.0,2910658.0,0.8932952617586813,0.011550309242789774,0.011021219256951521,0.02320609291782133,0.00918761324758869,0.051739503576167314
Vermont,55252.71,44.57,43.46,45.59,185137.0,132941.0,19306.0,337384.0,0.5487426789652147,0.3940346904417518,0.05722263059303346,590499.0,7921.0,2072.0,9680.0,206.0,2197.0,612575.0,0.9639619638411623,0.012930661551646737,0.003382442966167408,0.015802146675917235,0.00033628535281394117,0.0035864996122923726
Virginia,56270.04,41.75,40.35,43.25,2224213.0,1647956.0,242263.0,4114432.0,0.5405881054784719,0.4005306200223992,0.05888127449912892,5720209.0,1605447.0,22499.0,520119.0,5469.0,200265.0,8074008.0,0.70847205006485,0.19884139327085135,0.002786596198567056,0.06441893542835231,0.0006773587541652176,0.02480366628321399
Washington,54112.46,41.84,40.92,42.84,1964102.0,1547989.0,178498.0,3690589.0,0.5321920159627637,0.41944226246813177,0.048365721569104556,5500837.0,261743.0,94754.0,578822.0,46071.0,293007.0,6775234.0,0.8119036183842506,0.03863231882470775,0.013985347221955729,0.08543203083465457,0.006799912741021196,0.043246771993410114
West Virginia,41701.91,43.72,42.66,44.86,698120.0,245165.0,27401.0,970686.0,0.7192027081878177,0.2525688018576553,0.028228489954527005,1714591.0,65300.0,3322.0,14096.0,541.0,7193.0,1805043.0,0.9498892824159868,0.03617642349794437,0.0018403993699873079,0.0078092322454368125,0.00029971585164453147,0.003984946619000212
Wisconsin,53849.42,43.22,42.25,44.21,1807506.0,1160288.0,107949.0,3075743.0,0.5876648341555195,0.37723828031145645,0.03509688553302405,4950577.0,365884.0,50094.0,152325.0,1811.0,111435.0,5632126.0,0.8789890354015517,0.06496374548438724,0.00889433226458357,0.027045737258008788,0.00032154820399969746,0.01978560138746896
Wyoming,59065.22,39.8,39.26,40.55,183721.0,110017.0,10103.0,303841.0,0.6046616486912563,0.36208740755855856,0.03325094375018513,532394.0,6121.0,13549.0,5102.0,470.0,10247.0,567883.0,0.9375064934150168,0.010778628696404013,0.023858787813686975,0.00898424499412731,0.0008276352699411675,0.01804420981082371
