State Name,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Total Ethnicity,White Percentage,Black or African American Percentage,American Indian and Alaska Native Percentage,Asian Percentage,Native Hawaiian and Other Pacific Islander Percentage,Other Percentage
Nevada,1936453.0,253013.0,32426.0,232502.0,19019.0,279977.0,2753390.0,0.7032977529518157,0.0918914501759649,0.011776755199953512,0.08444208775364187,0.006907484954910129,0.10168446896371382
New Hampshire,1244260.0,18632.0,2148.0,33313.0,289.0,7016.0,1305658.0,0.9529754346084502,0.01427019939371566,0.001645147504170311,0.025514338364257715,0.000221344333661648,0.0053735357957443676
New Jersey,6085474.0,1207356.0,18006.0,844105.0,3013.0,573146.0,8731100.0,0.6969882374500349,0.13828223247929813,0.0020622831029309023,0.09667796726643836,0.0003450882477580145,0.06564419145353964
New Mexico,1547843.0,42187.0,197191.0,29991.0,1390.0,197944.0,2016546.0,0.7675713819570692,0.020920425321316747,0.09778651218469601,0.014872460137284247,0.0006892974422601816,0.09815992295737365
New York,12638791.0,3100685.0,77130.0,1652846.0,7937.0,1730813.0,19208202.0,0.6579892797878739,0.16142505165241391,0.004015472140494982,0.08604897012224257,0.00041320889899012933,0.09010801739798446
North Carolina,6937466.0,2159427.0,117998.0,269164.0,6393.0,310920.0,9801368.0,0.7078058899533208,0.22031893915216733,0.012038931708308474,0.02746188083132885,0.0006522558891779188,0.03172210246569662
North Dakota,654024.0,17365.0,39507.0,10197.0,341.0,6600.0,728034.0,0.8983426598208325,0.023851908015285,0.054265322773386956,0.01400621399550021,0.00046838471829612356,0.009065510676699164
Ohio,9503779.0,1428230.0,21872.0,235878.0,3499.0,103726.0,11296984.0,0.8412669257564674,0.1264257787742286,0.0019360919693256183,0.02087973214797861,0.0003097286851074588,0.009181742666892331
Oklahoma,2828569.0,283821.0,289871.0,80670.0,5543.0,105686.0,3594160.0,0.7869902842388764,0.07896726912547021,0.080650555345338,0.022444743695327975,0.0015422240523515925,0.02940492354263583
Oregon,3416776.0,76347.0,45332.0,166351.0,15157.0,121000.0,3840963.0,0.8895623311133172,0.019877046459442594,0.01180224855068898,0.04330971165304118,0.00394614579729094,0.03150251642621915
Pennsylvania,10378174.0,1417611.0,24995.0,417525.0,3665.0,251215.0,12493185.0,0.830706821359005,0.11347074424976497,0.0020006907766114087,0.033420220704328,0.0002933599398392003,0.02010816297045149
Puerto Rico,2389446.0,338939.0,10849.0,7789.0,136.0,511785.0,3258944.0,0.7331963973606175,0.1040027076255376,0.0033289924589069344,0.0023900380000392765,4.173130928300701e-05,0.15704013324561575
Rhode Island,854801.0,68346.0,5413.0,35556.0,759.0,59967.0,1024842.0,0.8340807656204566,0.06668930430251688,0.005281789778326805,0.034694128460777365,0.0007406019659615823,0.05851340987196075
South Carolina,3292598.0,1332110.0,14992.0,71994.0,3015.0,74328.0,4789037.0,0.6875282024340176,0.2781582184476754,0.003130483226586055,0.015033084939623562,0.0006295628954213551,0.015520448056676113
South Dakota,724430.0,14698.0,74062.0,11693.0,381.0,6687.0,831951.0,0.8707604173803505,0.017666905863446283,0.08902206980939983,0.014054914291827283,0.0004579596634897969,0.008037732991486277
Tennessee,5131786.0,1107392.0,17568.0,110605.0,3784.0,88745.0,6459880.0,0.7944088744682564,0.1714260946023765,0.0027195551620153935,0.017121835080527812,0.0005857693950971225,0.013737871291726782
Texas,20459525.0,3286950.0,130360.0,1236852.0,23531.0,1580393.0,26717611.0,0.7657692523481984,0.12302559536479515,0.004879178755914966,0.04629351029925542,0.0008807299425087071,0.0591517332893274
Utah,2600077.0,33619.0,32079.0,67545.0,26742.0,150596.0,2910658.0,0.8932952617586813,0.011550309242789774,0.011021219256951521,0.02320609291782133,0.00918761324758869,0.051739503576167314
Vermont,590499.0,7921.0,2072.0,9680.0,206.0,2197.0,612575.0,0.9639619638411623,0.012930661551646737,0.003382442966167408,0.015802146675917235,0.00033628535281394117,0.0035864996122923726
Virginia,5720209.0,1605447.0,22499.0,520119.0,5469.0,200265.0,8074008.0,0.70847205006485,0.19884139327085135,0.002786596198567056,0.06441893542835231,0.0006773587541652176,0.02480366628321399
